All,Stagione,Giorno,Mese,Specialita,PosizionediPartenza,PosizioneSecondaManche,PosizioneFinale,Tempo,Distacco,Paese,Pista,Altitudine,Punteggio,Latitudine,Longitudine
116,17_18,28,12,Slalom Speciale,2,1,1,01:44:27,-0.89,Austria,Lienz,680,100,46,12
115,17_18,20,12,Slalom Parallelo,NA,NA,1,07:45:00,-0.04,Francia,Courchevel,2100,100,45,6
114,17_18,19,12,Slalom Gigante,5,1,1,02:02:40,-0.99,Francia,Courchevel,2300,100,45,6
113,17_18,9,12,SuperG,6,NA,20,01:04:36,1.37,Svizzera,Sankt Moritz,2800,11,46,10
112,17_18,3,12,SuperG,14,NA,5,01:19:36,1.16,Canada,Lake Louise,2225,45,51,-116
111,17_18,2,12,Discesa Libera,8,NA,1,01:27:55,-0.13,Canada,Lake Louise,2300,100,51,-116
110,17_18,1,12,Discesa Libera,10,NA,3,01:49:23,0.3,Canada,Lake Louise,2200,60,51,-116
109,17_18,26,11,Slalom Speciale,5,1,1,01:41:31,-1.61,Stati Uniti,Killington,1100,100,44,-72
108,17_18,25,11,Slalom Gigante,6,2,2,S1:58:30,0.67,Stati Uniti,Killington,1300,80,44,-72
107,17_18,11,11,Slalom Speciale,3,1,2,01:50:08,0.1,Finlandia,Levi,580,80,68,25
106,17_18,28,10,Slalom Gigante,2,2,5,01:56:34,0.74,Austria,Solden,3048,45,47,11
105,16_17,19,3,Slalom Gigante,3,2,6,02:00:15,2.14,Stati Uniti,Aspen,2300,40,40,-106
104,16_17,18,3,Slalom Speciale,7,3,2,01:32:24,0.24,Stati Uniti,Aspen,2200,80,40,-106
103,16_17,11,3,Slalom Speciale,7,2,1,01:39:48,-1.03,Stati Uniti,Squaw Valley,2000,100,37,-119
102,16_17,10,3,Slalom Gigante,7,1,1,02:16:42,-0.07,Stati Uniti,Squaw Valley,2200,100,37,-119
101,16_17,26,2,Combinata Alpina,31,7,1,02:07:16,-0.7,Svizzera,Crans-Montana,2800,100,46,7
100,16_17,25,2,SuperG,2,NA,13,01:24:29,2.11,Svizzera,Crans-Montana,2600,20,46,7
99,16_17,31,1,Slalom Parallelo,NA,NA,1,09:34:00,0.22,Svezia,Stoccolma,NA,100,59,18
98,16_17,29,1,SuperG,31,NA,4,01:20:54,1.27,Italia,Cortina,2175,50,44,12
97,16_17,24,1,Slalom Speciale,3,9,5,02:11:14,1.09,Italia,Kronplatz,2200,45,47,12
96,16_17,10,1,Slalom Speciale,7,5,3,01:52:18,0.78,Austria,Flachau,1100,60,47,13
95,16_17,8,1,Slalom Speciale,5,1,1,01:40:01,-0.19,Sloveniza,Maribor,1300,100,46,15
94,16_17,7,1,Slalom Gigante,6,1,4,02:17:38,0.42,Slovenia,Maribor,1300,50,46,15
93,16_17,3,1,Slalom Speciale,5,39,41,NA,NA,Croazia,Zagabria,860,0,46,16
92,16_17,29,12,Slalom Speciale,7,1,1,01:40:06,-0.64,Austria,Semmering,1200,100,47,16
91,16_17,28,12,Slalom Gigante,6,1,1,02:09:40,-0.15,Austria,Semmering,1150,100,47,16
90,16_17,27,12,Slalom Gigante,15,1,1,02:02:21,-0.78,Austria,Semmering,1200,100,47,16
89,16_17,11,12,Slalom Speciale,1,1,1,01:38:20,-1.09,Italia,Sestriere,2350,100,45,7
88,16_17,10,12,Slalom Gigante,8,1,6,02:18:41,0.96,Italia,Sestriere,2200,40,45,7
87,16_17,4,12,SuperG,31,NA,34,01:04:52,1.84,Canada,Lake Louise,2250,0,51,-116
86,16_17,3,12,Discesa Libera,31,NA,13,01:26:41,1.46,Canada,Lake Louise,2300,20,51,-116
85,16_17,2,12,Discesa Libera,31,NA,18,01:47:47,1.99,Canada,Lake Louise,2250,13,51,-116
84,16_17,27,11,Slalom Speciale,1,1,1,01:28:35,-0.71,Stati Uniti,Killington,1100,100,44,-72
83,16_17,26,11,Slalom Gigante,10,8,5,02:00:50,1.34,Stati Uniti,Killington,1200,45,44,-72
82,16_17,12,11,Slalom Speciale,7,1,1,01:53:11,-0.67,Finlandia,Levi,580,100,68,25
81,16_17,22,10,Slalom Gigante,16,2,2,02:24:46,0.44,Austria,Solden,3048,80,47,11
